"Name","PackageFullName","DisplayName","DisplayVersion","Publisher","InstallDate","IsFramework","IsResourcePackage","InstallLocation","UserSid"
"Microsoft.12218EDECF8F4","Microsoft.12218EDECF8F4_1.0.1.0_neutral__8wekyb3d8bbwe","Microsoft.12218EDECF8F4","1.0.1.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.12218EDECF8F4_1.0.1.0_neutral__8wekyb3d8bbwe",
"Microsoft.6365217CE6EB4","Microsoft.6365217CE6EB4_102.2509.19002.0_x64__8wekyb3d8bbwe","Microsoft.6365217CE6EB4","102.2509.19002.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.6365217CE6EB4_102.2509.19002.0_x64__8wekyb3d8bbwe",
"Microsoft.AAD.BrokerPlugin","Microsoft.AAD.BrokerPlugin_1000.19580.1000.2_neutral_neutral_cw5n1h2txyewy","Microsoft.AAD.BrokerPlugin","1000.19580.1000.2","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy",
"Microsoft.AccountsControl","Microsoft.AccountsControl_10.0.26100.1_neutral__cw5n1h2txyewy","Microsoft.AccountsControl","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.AccountsControl_cw5n1h2txyewy",
"Microsoft.ApplicationCompatibilityEnhancements","Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe","Microsoft.ApplicationCompatibilityEnhancements","1.2511.9.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.ApplicationCompatibilityEnhancements_1.2511.9.0_x64__8wekyb3d8bbwe",
"Microsoft.AsyncTextService","Microsoft.AsyncTextService_10.0.26100.1_neutral__8wekyb3d8bbwe","Microsoft.AsyncTextService","10.0.26100.1","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe",
"Microsoft.AV1VideoExtension","Microsoft.AV1VideoExtension_2.0.6.0_x64__8wekyb3d8bbwe","Microsoft.AV1VideoExtension","2.0.6.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.AV1VideoExtension_2.0.6.0_x64__8wekyb3d8bbwe",
"Microsoft.AVCEncoderVideoExtension","Microsoft.AVCEncoderVideoExtension_1.1.21.0_x64__8wekyb3d8bbwe","Microsoft.AVCEncoderVideoExtension","1.1.21.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.AVCEncoderVideoExtension_1.1.21.0_x64__8wekyb3d8bbwe",
"Microsoft.BingNews","Microsoft.BingNews_4.56.242.0_x64__8wekyb3d8bbwe","Microsoft.BingNews","4.56.242.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.BingNews_4.56.242.0_x64__8wekyb3d8bbwe",
"Microsoft.BingSearch","Microsoft.BingSearch_1.1.40.0_x64__8wekyb3d8bbwe","Microsoft.BingSearch","1.1.40.0","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",,"False","False","C:\Program Files\WindowsApps\Microsoft.BingSearch_1.1.40.0_x64__8wekyb3d8bbwe",
